cut_sol = 2,cut_comb_nodes = 500,,,,cut_sol = 3,cut_comb_nodes = 500,,
,,,,,,,,
,OF,Runtime,SD (Runtime),,,OF,Runtime,SD (Runtime)
10,10.203.452,"6,93E-06","2,89E-11",,10,10.203.452,"1,55E-05","1,60E-10"
20,11.876.770,"5,37E-05","5,55E-10",,20,11.876.770,"1,82E-04","3,21E-10"
50,27.982.863,"5,41E-04","1,27E-08",,50,22.095.232,"9,91E-04","4,05E-09"
100,35.349.221,"2,16E-03","1,10E-07",,100,34.471.583,"5,84E-03","3,50E-08"
500,204.130.469,"6,00E-02","1,18E-06",,500,208.058.061,"1,34E+00","3,87E-05"
1.000,422.360.635,"2,42E-01","5,55E-05",,1.000,420.969.373,"5,57E+00","1,56E-03"
,,,,,,,,
cut_sol = 2,cut_comb_nodes = 1000,,,,cut_sol = 3,cut_comb_nodes = 1000,,
,,,,,,,,
,OF,Runtime,SD (Runtime),,,OF,Runtime,SD (Runtime)
10,10.203.452,"7,50E-06","2,19E-11",,10,10.203.452,"1,62E-05","1,84E-10"
20,11.876.770,"5,34E-05","5,53E-10",,20,11.876.770,"2,38E-04","2,02E-09"
50,27.982.863,"5,85E-04","2,17E-08",,50,22.095.232,"1,41E-03","7,78E-09"
100,35.349.221,"2,71E-03","3,70E-08",,100,34.471.583,"6,90E-03","3,22E-08"
500,197.600.344,"7,18E-02","1,58E-06",,500,201.473.557,"1,85E+00","1,08E-04"
1.000,512.127.604,"3,47E-01","2,77E-05",,1.000,511.873.287,"2,06E+01","6,81E-04"
,,,,,,,,
cut_sol = 2,cut_comb_nodes = 5000,,,,cut_sol = 3,cut_comb_nodes = 5000,,
,,,,,,,,
,OF,Runtime,SD (Runtime),,,OF,Runtime,SD (Runtime)
10,10.203.452,"7,40E-06","3,54E-11",,10,10.203.452,"1,57E-05","1,75E-10"
20,11.876.770,"5,19E-05","5,99E-10",,20,11.876.770,"2,60E-04","6,44E-09"
50,27.982.863,"5,75E-04","1,70E-08",,50,22.095.232,"3,53E-03","2,61E-07"
100,35.349.221,"3,73E-03","2,17E-08",,100,34.471.583,"1,36E-02","7,75E-08"
500,195.440.804,"1,13E-01","2,11E-06",,500,205.504.635,"2,11E+00","3,42E-05"
1.000,508.310.939,"5,11E-01","1,93E-04",,1.000,527.527.686,"3,30E+01","1,33E-03"
