cut_sol = 2,cut_comb_nodes = 500,,,,cut_sol = 3,cut_comb_nodes = 500,,
,,,,,,,,
,OF,Runtime,SD (Runtime),,,OF,Runtime,SD (Runtime)
10,2.130.314,"3,92E-06","8,75E-12",,10,2.130.314,"9,13E-06","4,89E-11"
20,540.654,"3,27E-05","6,13E-10",,20,540.654,"1,18E-04","8,96E-10"
50,154.612,"2,59E-04","3,74E-09",,50,154.364,"4,66E-04","2,09E-08"
100,152.804,"8,44E-04","5,20E-08",,100,226.881,"3,32E-03","5,25E-08"
500,148.189,"2,37E-02","2,63E-07",,500,192.927,"9,54E-01","5,47E-06"
1.000,494.071,"7,27E-02","9,35E-05",,1.000,618.692,"2,28E+00","5,69E-05"
,,,,,,,,
cut_sol = 2,cut_comb_nodes = 1000,,,,cut_sol = 3,cut_comb_nodes = 1000,,
,,,,,,,,
,OF,Runtime,SD (Runtime),,,OF,Runtime,SD (Runtime)
10,2.130.314,"3,67E-06","1,65E-11",,10,2.130.314,"1,07E-05","1,15E-10"
20,540.654,"2,93E-05","4,83E-10",,20,540.654,"1,88E-04","3,09E-10"
50,154.612,"3,06E-04","5,86E-10",,50,154.364,"6,52E-04","3,21E-08"
100,152.804,"1,15E-03","1,22E-07",,100,226.881,"3,66E-03","3,79E-08"
500,119.175,"3,09E-02","9,14E-07",,500,281.360,"1,47E+00","1,19E-05"
1.000,266.485,"1,37E-01","4,52E-05",,1.000,348.047,"1,42E+01","9,00E-04"
,,,,,,,,
cut_sol = 2,cut_comb_nodes = 5000,,,,cut_sol = 3,cut_comb_nodes = 5000,,
,,,,,,,,
,OF,Runtime,SD (Runtime),,,OF,Runtime,SD (Runtime)
10,2.130.314,"3,80E-06","1,40E-11",,10,2.130.314,"1,03E-05","4,81E-11"
20,540.654,"3,09E-05","3,35E-10",,20,540.654,"2,17E-04","2,86E-09"
50,154.612,"3,18E-04","1,01E-08",,50,154.364,"1,94E-03","2,53E-07"
100,152.804,"2,05E-03","1,63E-07",,100,226.881,"6,05E-03","3,94E-07"
500,197.723,"4,49E-02","1,62E-06",,500,220.206,"1,59E+00","1,03E-04"
1.000,340.509,"2,22E-01","1,58E-04",,1.000,410801,"2,52E+01","2,78E-03"
